NAME	# MATCHING PROBE SETS	MATCHING PROBE SET(S)	
Ddx19a	1	ENSMUSG00000015023	
Gm5763	1	ENSMUSG00000048600	
Gm5762	1	ENSMUSG00000082291	
Gm5764	1	ENSMUSG00000082026	
Gm5766	1	ENSMUSG00000089645	
Dido1	1	ENSMUSG00000038914	
RP23-7E4.9	1	ENSMUSG00000104986	
RP23-7E4.7	1	ENSMUSG00000104665	
Haus3	1	ENSMUSG00000079555	
Mbip	1	ENSMUSG00000021028	
Haus4	1	ENSMUSG00000022177	
Haus5	1	ENSMUSG00000078762	
Haus6	1	ENSMUSG00000038047	
Haus1	1	ENSMUSG00000041840	
Haus2	1	ENSMUSG00000027285	
Nrbp1	1	ENSMUSG00000029148	
Nrbp2	1	ENSMUSG00000075590	
Gm37084	1	ENSMUSG00000102856	
Gm37083	1	ENSMUSG00000102852	
Gm37088	1	ENSMUSG00000103186	
Gm5732	1	ENSMUSG00000098080	
Gm37086	1	ENSMUSG00000102858	
Fgfr1op	1	ENSMUSG00000069135	
AC161877.1	1	ENSMUSG00000104689	
Gm37092	1	ENSMUSG00000103189	
Gm37091	1	ENSMUSG00000103182	
Gm37090	1	ENSMUSG00000103183	
Gm37095	1	ENSMUSG00000103723	
Gm5741	1	ENSMUSG00000095845	
Gm37098	1	ENSMUSG00000103729	
Gm37097	1	ENSMUSG00000103727	
Gm5742	1	ENSMUSG00000081383	
Gm5745	1	ENSMUSG00000066478	
RP23-137P16.1	1	ENSMUSG00000105977	
1700092M07Rik	1	ENSMUSG00000090840	
Cbwd1	1	ENSMUSG00000024878	
Ddx26b	1	ENSMUSG00000035967	
Gm15712	1	ENSMUSG00000083827	
Gm15713	1	ENSMUSG00000085499	
Gm15710	1	ENSMUSG00000084111	
Gm15711	1	ENSMUSG00000082570	
8430423G03Rik	1	ENSMUSG00000079069	
Gm15718	1	ENSMUSG00000085663	
Pdxdc1	1	ENSMUSG00000022680	
Gm15719	1	ENSMUSG00000081242	
Gm15716	1	ENSMUSG00000089995	
Gm15714	1	ENSMUSG00000081426	
Gm15715	1	ENSMUSG00000083006	
Alkbh5	1	ENSMUSG00000042650	
Alkbh4	1	ENSMUSG00000039754	
Alkbh3	1	ENSMUSG00000040174	
Alkbh2	1	ENSMUSG00000044339	
Alkbh1	1	ENSMUSG00000079036	
Gm15702	1	ENSMUSG00000080849	
Gm15709	1	ENSMUSG00000083574	
Isca2	1	ENSMUSG00000021241	
Gm15707	1	ENSMUSG00000083962	
Gm15708	1	ENSMUSG00000086894	
Isca1	1	ENSMUSG00000044792	
Gm15706	1	ENSMUSG00000086013	
Sub1	1	ENSMUSG00000022205	
Gm15703	1	ENSMUSG00000083890	
Gm15704	1	ENSMUSG00000085658	
Thbs1	1	ENSMUSG00000040152	
Alkbh8	1	ENSMUSG00000025899	
Thbs2	1	ENSMUSG00000023885	
Thbs3	1	ENSMUSG00000028047	
Alkbh7	1	ENSMUSG00000002661	
Alkbh6	1	ENSMUSG00000042831	
Thbs4	1	ENSMUSG00000021702	
Dhx8	1	ENSMUSG00000034931	
Dhx9	1	ENSMUSG00000042699	
Suco	1	ENSMUSG00000040297	
Gm15735	1	ENSMUSG00000085423	
Gm15732	1	ENSMUSG00000057290	
Gm15730	1	ENSMUSG00000082867	
Gm15731	1	ENSMUSG00000086528	
Gm15738	1	ENSMUSG00000087526	
RP24-434E24.5	1	ENSMUSG00000106268	
Gm15739	1	ENSMUSG00000080957	
Bbs2	1	ENSMUSG00000031755	
Bbs1	1	ENSMUSG00000006464	
Xbp1	1	ENSMUSG00000020484	
Gm15721	1	ENSMUSG00000085565	
Gm15722	1	ENSMUSG00000089680	
Gm15720	1	ENSMUSG00000082120	
Gm15729	1	ENSMUSG00000086146	
Gm15727	1	ENSMUSG00000081274	
Gm15728	1	ENSMUSG00000086075	
Gm15726	1	ENSMUSG00000087263	
Dbpht2	1	ENSMUSG00000029878	
Gm27700	1	ENSMUSG00000098964	
Nmur1	1	ENSMUSG00000026237	
Lypla1	1	ENSMUSG00000025903	
Lypla2	1	ENSMUSG00000028670	
Bbs9	1	ENSMUSG00000035919	
Bbs7	1	ENSMUSG00000037325	
Bbs5	1	ENSMUSG00000063145	
Bbs4	1	ENSMUSG00000025235	
Arpp19	1	ENSMUSG00000007656	
Zhx2	1	ENSMUSG00000071757	
Zhx3	1	ENSMUSG00000035877	
1700125H20Rik	1	ENSMUSG00000018479	
Zhx1	1	ENSMUSG00000022361	
Robo1	1	ENSMUSG00000022883	
Specc1	1	ENSMUSG00000042331	
Thumpd3	1	ENSMUSG00000030264	
Thumpd2	1	ENSMUSG00000024246	
Thumpd1	1	ENSMUSG00000030942	
Robo4	1	ENSMUSG00000032125	
Robo3	1	ENSMUSG00000032128	
Robo2	1	ENSMUSG00000052516	
Cd63-ps	1	ENSMUSG00000085939	
Asphd1	1	ENSMUSG00000046378	
RP23-446B13.7	1	ENSMUSG00000106904	
Asphd2	1	ENSMUSG00000029348	
9630013K17Rik	1	ENSMUSG00000086359	
Sufu	1	ENSMUSG00000025231	
Gm15792	1	ENSMUSG00000085606	
Gm15793	1	ENSMUSG00000082769	
Gm15790	1	ENSMUSG00000089648	
Mir7000	1	ENSMUSG00000099093	
Gm15791	1	ENSMUSG00000081256	
1700113H08Rik	1	ENSMUSG00000047129	
Amdhd2	1	ENSMUSG00000036820	
Amdhd1	1	ENSMUSG00000015890	
Gm13136	1	ENSMUSG00000081179	
Gm13139	1	ENSMUSG00000067916	
Gm15798	1	ENSMUSG00000083658	
Arl14epl	1	ENSMUSG00000073568	
Gm37101	1	ENSMUSG00000102448	
Gm15799	1	ENSMUSG00000082130	
Gm37108	1	ENSMUSG00000102135	
Gm15796	1	ENSMUSG00000089646	
Gm13132	1	ENSMUSG00000081276	
Gm37106	1	ENSMUSG00000102133	
Gm13135	1	ENSMUSG00000082925	
Gm15795	1	ENSMUSG00000090142	
Gm37105	1	ENSMUSG00000102672	
H1f0	1	ENSMUSG00000096210	
Gm37109	1	ENSMUSG00000102139	
Gm25110	1	ENSMUSG00000080334	
Mir7009	1	ENSMUSG00000098808	
6430531B16Rik	1	ENSMUSG00000073795	
Mir7005	1	ENSMUSG00000098735	
Mir7006	1	ENSMUSG00000098824	
Gm25117	1	ENSMUSG00000087819	
Mir7008	1	ENSMUSG00000098890	
Mir7001	1	ENSMUSG00000099238	
Mir7002	1	ENSMUSG00000098464	
Gm15782	1	ENSMUSG00000084083	
Gm15780	1	ENSMUSG00000082829	
Gm25108	1	ENSMUSG00000084422	
Gm25109	1	ENSMUSG00000084423	
Gm15789	1	ENSMUSG00000082057	
Gm37115	1	ENSMUSG00000103572	
Gm13126	1	ENSMUSG00000082418	
Gm37114	1	ENSMUSG00000103571	
Gm15787	1	ENSMUSG00000086247	
Gm37113	1	ENSMUSG00000103579	
Gm13127	1	ENSMUSG00000070610	
Gm15788	1	ENSMUSG00000087439	
Gm15785	1	ENSMUSG00000082072	
Gm13121	1	ENSMUSG00000083390	
Gm15783	1	ENSMUSG00000083351	
Gm37116	1	ENSMUSG00000103574	
Gm13123	1	ENSMUSG00000083708	
Gm15784	1	ENSMUSG00000081126	
Mir7016	1	ENSMUSG00000098422	
Mir7017	1	ENSMUSG00000099202	
Gm25107	1	ENSMUSG00000084421	
Mir7013	1	ENSMUSG00000099033	
Gm13151	1	ENSMUSG00000078498	
Gm3076	1	ENSMUSG00000090114	
Gm13152	1	ENSMUSG00000078496	
Dhx58os	1	ENSMUSG00000085604	
RP23-256J12.1	1	ENSMUSG00000106084	
Gm13154	1	ENSMUSG00000065999	
Gm13157	1	ENSMUSG00000078495	
Gm13156	1	ENSMUSG00000083340	
Fam136b-ps	1	ENSMUSG00000055416	
Gm25131	1	ENSMUSG00000064587	
Atp5k-ps2	1	ENSMUSG00000081700	
Gm25138	1	ENSMUSG00000065182	
H1fx	1	ENSMUSG00000044927	
Gm3081	1	ENSMUSG00000103624	
Gm25134	1	ENSMUSG00000064580	
RP23-238A12.1	1	ENSMUSG00000105829	
Tsc22d3	1	ENSMUSG00000031431	
Gm13140	1	ENSMUSG00000083027	
Tsc22d2	1	ENSMUSG00000027806	
Raet1e	1	ENSMUSG00000053219	
Gm3086	1	ENSMUSG00000079076	
Gm13142	1	ENSMUSG00000081405	
Raet1d	1	ENSMUSG00000078452	
Tsc22d1	1	ENSMUSG00000022010	
Gm13141	1	ENSMUSG00000082599	
Tsc22d4	1	ENSMUSG00000029723	
Gm13147	1	ENSMUSG00000087207	
Gm13149	1	ENSMUSG00000081260	
Gm13146	1	ENSMUSG00000095054	
Gm13145	1	ENSMUSG00000078497	
Fam155a	1	ENSMUSG00000079157	
Gm25127	1	ENSMUSG00000065270	
Gm25128	1	ENSMUSG00000065273	
Ddx60	1	ENSMUSG00000037921	
Gm15756	1	ENSMUSG00000089781	
Hunk	1	ENSMUSG00000053414	
Gm15754	1	ENSMUSG00000082365	
Gm15755	1	ENSMUSG00000086910	
Gm15753	1	ENSMUSG00000082088	
Gm15750	1	ENSMUSG00000083921	
Gm15751	1	ENSMUSG00000086753	
Ddx3x	1	ENSMUSG00000000787	
Swap70	1	ENSMUSG00000031015	
4732419C18Rik	1	ENSMUSG00000097203	
Ddx59	1	ENSMUSG00000026404	
RP23-350E1.2	1	ENSMUSG00000106498	
Galnt10	1	ENSMUSG00000020520	
Clec10a	1	ENSMUSG00000000318	
Ddx3y	1	ENSMUSG00000069045	
BC028528	1	ENSMUSG00000038543	
Zic2	1	ENSMUSG00000061524	
Ddx56	1	ENSMUSG00000004393	
Zic3	1	ENSMUSG00000067860	
Ddx55	1	ENSMUSG00000029389	
Ddx58	1	ENSMUSG00000040296	
Gm15759	1	ENSMUSG00000089822	
Ddx52	1	ENSMUSG00000020677	
Gm27734	1	ENSMUSG00000099314	
Ddx51	1	ENSMUSG00000029504	
Galnt18	1	ENSMUSG00000038296	
Ddx54	1	ENSMUSG00000029599	
Galnt15	1	ENSMUSG00000021903	
Galnt16	1	ENSMUSG00000021130	
Galnt13	1	ENSMUSG00000060988	
Galnt14	1	ENSMUSG00000024064	
Galnt11	1	ENSMUSG00000038072	
Ddx50	1	ENSMUSG00000020076	
Galnt12	1	ENSMUSG00000039774	
Il13ra1	1	ENSMUSG00000017057	
Sun3	1	ENSMUSG00000040985	
Sun2	1	ENSMUSG00000042524	
Sun1	1	ENSMUSG00000036817	
RP23-34P11.1	1	ENSMUSG00000106927	
Il13ra2	1	ENSMUSG00000031289	
RP23-34P11.2	1	ENSMUSG00000107096	
Gm15745	1	ENSMUSG00000080868	
Gm15746	1	ENSMUSG00000081988	
Gm15743	1	ENSMUSG00000086645	
Gm15744	1	ENSMUSG00000089938	
Csn1s1	1	ENSMUSG00000070702	
Gm15742	1	ENSMUSG00000087605	
Gm15740	1	ENSMUSG00000090027	
Ddx49	1	ENSMUSG00000057788	
Clec11a	1	ENSMUSG00000004473	
Gm15747	1	ENSMUSG00000086700	
Ddx47	1	ENSMUSG00000030204	
Ddx46	1	ENSMUSG00000021500	
Ddx41	1	ENSMUSG00000021494	
Ddx43	1	ENSMUSG00000070291	
Ddx42	1	ENSMUSG00000020705	
Gm15770	1	ENSMUSG00000082308	
Sharpin	1	ENSMUSG00000022552	
Gm15778	1	ENSMUSG00000081556	
Gm13114	1	ENSMUSG00000082073	
Gm15779	1	ENSMUSG00000082633	
Gm15776	1	ENSMUSG00000082241	
Gm15777	1	ENSMUSG00000085269	
Gm13111	1	ENSMUSG00000085069	
Gm15774	1	ENSMUSG00000085118	
Suox	1	ENSMUSG00000049858	
Gm13110	1	ENSMUSG00000086810	
Gm15775	1	ENSMUSG00000089820	
RP23-33I24.2	1	ENSMUSG00000105360	
Gm15772	1	ENSMUSG00000062353	
Gm13112	1	ENSMUSG00000087437	
Gm15773	1	ENSMUSG00000082872	
RP23-462C22.2	1	ENSMUSG00000105845	
RP23-462C22.1	1	ENSMUSG00000105633	
Ddx39	1	ENSMUSG00000005481	
Rarres1	1	ENSMUSG00000049404	
Gm13119	1	ENSMUSG00000070619	
Gm13118	1	ENSMUSG00000082835	
Rarres2	1	ENSMUSG00000009281	
Fam150b	1	ENSMUSG00000054204	
Ddx31	1	ENSMUSG00000026806	
Lclat1	1	ENSMUSG00000054469	
AC108848.6	1	ENSMUSG00000107373	
Gm27754	1	ENSMUSG00000098898	
RP23-462C22.5	1	ENSMUSG00000105699	
BC016579	1	ENSMUSG00000033187	
Gm15760	1	ENSMUSG00000080797	
Gm13104	1	ENSMUSG00000095987	
Gm15767	1	ENSMUSG00000086021	
Lpin3	1	ENSMUSG00000027412	
Gm13106	1	ENSMUSG00000084123	
Zic4	1	ENSMUSG00000036972	
Lpin2	1	ENSMUSG00000024052	
Gm15766	1	ENSMUSG00000081023	
Zic5	1	ENSMUSG00000041703	
Lpin1	1	ENSMUSG00000020593	
Nrcam	1	ENSMUSG00000020598	
2610528J11Rik	1	ENSMUSG00000028536	
Gm15763	1	ENSMUSG00000082199	
Gm15764	1	ENSMUSG00000087556	
Gm13101	1	ENSMUSG00000078510	
Gm15762	1	ENSMUSG00000086019	
Ddx27	1	ENSMUSG00000017999	
A430027C01Rik	1	ENSMUSG00000104432	
Ddx28	1	ENSMUSG00000045538	
Ddx23	1	ENSMUSG00000003360	
Ddx25	1	ENSMUSG00000032101	
Fam151b	1	ENSMUSG00000034334	
Ddx24	1	ENSMUSG00000041645	
Ddx21	1	ENSMUSG00000020075	
Cxx1a	1	ENSMUSG00000067925	
Ddx20	1	ENSMUSG00000027905	
Cxx1b	1	ENSMUSG00000067924	
Cxx1c	1	ENSMUSG00000051851	
1700007F19Rik	1	ENSMUSG00000100666	
Gm20743	1	ENSMUSG00000104117	
Gm20746	1	ENSMUSG00000096755	
Gm5678	1	ENSMUSG00000082815	
Vps35	1	ENSMUSG00000031696	
Vps36	1	ENSMUSG00000031479	
Vps39	1	ENSMUSG00000027291	
Vps29	1	ENSMUSG00000029462	
D630002J18Rik	1	ENSMUSG00000097293	
Tcp11l1	1	ENSMUSG00000027175	
Tcp11l2	1	ENSMUSG00000020034	
Gm20731	1	ENSMUSG00000102912	
Gm20730	1	ENSMUSG00000076500	
Gm5682	1	ENSMUSG00000092265	
Gm5687	1	ENSMUSG00000080866	
Hus1	1	ENSMUSG00000020413	
Vps25	1	ENSMUSG00000078656	
Gm19744	1	ENSMUSG00000100706	
Vps18	1	ENSMUSG00000034216	
Gm17112	1	ENSMUSG00000090873	
Gm17113	1	ENSMUSG00000061115	
Gm19774	1	ENSMUSG00000099488	
Ghrhr	1	ENSMUSG00000004654	
Gm17110	1	ENSMUSG00000090779	
Gm17111	1	ENSMUSG00000090327	
Gm5652	1	ENSMUSG00000097977	
Gm20767	1	ENSMUSG00000096323	
Mcam	1	ENSMUSG00000032135	
D030055H07Rik	1	ENSMUSG00000086296	
Vps11	1	ENSMUSG00000032127	
Gm17116	1	ENSMUSG00000090785	
Mcat	1	ENSMUSG00000048755	
Gm19777	1	ENSMUSG00000103597	
Vps16	1	ENSMUSG00000027411	
Gm17115	1	ENSMUSG00000091968	
Bcan	1	ENSMUSG00000004892	
Bcam	1	ENSMUSG00000002980	
Gm20760	1	ENSMUSG00000093919	
Gm17101	1	ENSMUSG00000091665	
Gm20753	1	ENSMUSG00000101583	
Gm17102	1	ENSMUSG00000091864	
Gm5662	1	ENSMUSG00000079029	
Gm17108	1	ENSMUSG00000091133	
Gm17105	1	ENSMUSG00000091079	
Gm17106	1	ENSMUSG00000078489	
Gm17103	1	ENSMUSG00000091238	
Gm20702	1	ENSMUSG00000093437	
Gm20701	1	ENSMUSG00000093758	
Gm20703	1	ENSMUSG00000093622	
Gm20705	1	ENSMUSG00000093559	
Gm20708	1	ENSMUSG00000093485	
Gm20707	1	ENSMUSG00000093594	
Zik1	1	ENSMUSG00000030393	
A930035D04Rik	1	ENSMUSG00000052241	
Diexf	1	ENSMUSG00000016181	
Folh1	1	ENSMUSG00000001773	
Lrrc7	1	ENSMUSG00000028176	
Edrf1	1	ENSMUSG00000039990	
Lrrc9	1	ENSMUSG00000021090	
RP23-37G19.3	1	ENSMUSG00000106101	
Gm19705	1	ENSMUSG00000097113	
DXBay18	1	ENSMUSG00000071745	
Appbp2os	1	ENSMUSG00000085628	
1700022I11Rik	1	ENSMUSG00000028451	
Lrrd1	1	ENSMUSG00000040367	
Zfp335os	1	ENSMUSG00000085436	
Gm5692	1	ENSMUSG00000101024	
Gm5694	1	ENSMUSG00000103629	
Gm20721	1	ENSMUSG00000090625	
Gm5696	1	ENSMUSG00000099692	
Bglap	1	ENSMUSG00000074483	
Gm5697	1	ENSMUSG00000081557	
Gm5698	1	ENSMUSG00000086151	
Gm20726	1	ENSMUSG00000092443	
Gm5699	1	ENSMUSG00000087346	
Lrrc3	1	ENSMUSG00000051652	
Lrrc4	1	ENSMUSG00000049939	
Zim1	1	ENSMUSG00000002266	
Fosb	1	ENSMUSG00000003545	
Lrrc6	1	ENSMUSG00000022375	
Lrrc1	1	ENSMUSG00000032352	
Lrrc2	1	ENSMUSG00000032495	
Gm20711	1	ENSMUSG00000093538	
Gm20712	1	ENSMUSG00000093677	
Mcf2	1	ENSMUSG00000031139	
Gm20715	1	ENSMUSG00000045929	
Gm20717	1	ENSMUSG00000093695	
Scand1	1	ENSMUSG00000046229	
Pdzrn4	1	ENSMUSG00000036218	
Pdzrn3	1	ENSMUSG00000035357	
Gm19721	1	ENSMUSG00000102324	
Mcee	1	ENSMUSG00000033429	
Gm3055	1	ENSMUSG00000094622	
Gm17178	1	ENSMUSG00000090758	
Atxn3	1	ENSMUSG00000021189	
Bche	1	ENSMUSG00000027792	
Atxn1	1	ENSMUSG00000046876	
Atxn2	1	ENSMUSG00000042605	
Atxn7	1	ENSMUSG00000021738	
Rimbp2	1	ENSMUSG00000029420	
Gm17172	1	ENSMUSG00000090692	
Rimbp3	1	ENSMUSG00000071636	
Gm29156	1	ENSMUSG00000100480	
Gm29155	1	ENSMUSG00000100764	
Gm29157	1	ENSMUSG00000100635	
Gm29151	1	ENSMUSG00000106005	
Gm17181	1	ENSMUSG00000091123	
Oip5	1	ENSMUSG00000072980	
Gm17168	1	ENSMUSG00000091390	
Mtrf1	1	ENSMUSG00000022022	
Dio1	1	ENSMUSG00000034785	
Gm5600	1	ENSMUSG00000073862	
Gm5601	1	ENSMUSG00000100153	
Dio2	1	ENSMUSG00000007682	
Gm5602	1	ENSMUSG00000086108	
Dio3	1	ENSMUSG00000075707	
Mir101b	1	ENSMUSG00000065556	
Gm17169	1	ENSMUSG00000090584	
Gm29143	1	ENSMUSG00000102126	
RP24-535K22.2	1	ENSMUSG00000107276	
Thg1l	1	ENSMUSG00000011254	
Gm17199	1	ENSMUSG00000090331	
Gm17196	1	ENSMUSG00000090708	
Porcn	1	ENSMUSG00000031169	
Gm17197	1	ENSMUSG00000090990	
Cnot11	1	ENSMUSG00000003135	
Gm17194	1	ENSMUSG00000091507	
Gm17195	1	ENSMUSG00000091534	
Eif4ebp2	1	ENSMUSG00000020091	
Eif4ebp1	1	ENSMUSG00000031490	
Gm29183	1	ENSMUSG00000101344	
Eif4ebp3	1	ENSMUSG00000090264	
1700094J05Rik	1	ENSMUSG00000101695	
1500015A07Rik	1	ENSMUSG00000098702	
Cnot10	1	ENSMUSG00000056167	
Mcl1	1	ENSMUSG00000038612	
Gm29170	1	ENSMUSG00000100455	
Bcl9	1	ENSMUSG00000038256	
Gm29163	1	ENSMUSG00000101392	
Bcl6	1	ENSMUSG00000022508	
RP23-149I5.1	1	ENSMUSG00000106000	
Bcl3	1	ENSMUSG00000053175	
Gm29164	1	ENSMUSG00000101077	
Bcl2	1	ENSMUSG00000057329	
Gm17192	1	ENSMUSG00000090448	
Gm17193	1	ENSMUSG00000079645	
Gm17190	1	ENSMUSG00000099115	
Gm17191	1	ENSMUSG00000091587	
Tsen2	1	ENSMUSG00000042389	
Gm17135	1	ENSMUSG00000091351	
Gm17133	1	ENSMUSG00000091160	
Vps72	1	ENSMUSG00000008958	
Gm17130	1	ENSMUSG00000106894	
Mcm7	1	ENSMUSG00000029730	
Mcm8	1	ENSMUSG00000027353	
Gm19791	1	ENSMUSG00000097214	
Mcm9	1	ENSMUSG00000058298	
Tnks1bp1	1	ENSMUSG00000033955	
Gm5633	1	ENSMUSG00000091105	
Birc3	1	ENSMUSG00000032000	
Birc2	1	ENSMUSG00000057367	
Gm5637	1	ENSMUSG00000046993	
Birc7	1	ENSMUSG00000038840	
Gm5638	1	ENSMUSG00000081084	
Gm17138	1	ENSMUSG00000091942	
Gm5639	1	ENSMUSG00000082629	
Birc6	1	ENSMUSG00000024073	
Gm17136	1	ENSMUSG00000057945	
Birc5	1	ENSMUSG00000017716	
Gm17137	1	ENSMUSG00000090559	
Gm29114	1	ENSMUSG00000101156	
Oit1	1	ENSMUSG00000021749	
Gm29113	1	ENSMUSG00000100354	
Got2-ps1	1	ENSMUSG00000080935	
Nfkbil1	1	ENSMUSG00000042419	
Oit3	1	ENSMUSG00000009654	
Gm20775	1	ENSMUSG00000075359	
Gm5640	1	ENSMUSG00000079534	
Dis3	1	ENSMUSG00000033166	
Gm5643	1	ENSMUSG00000083311	
Gm5644	1	ENSMUSG00000100104	
Them4	1	ENSMUSG00000028145	
Them5	1	ENSMUSG00000028148	
Them6	1	ENSMUSG00000056665	
Gm5648	1	ENSMUSG00000083668	
Gm29101	1	ENSMUSG00000101414	
Gm29100	1	ENSMUSG00000100980	
Vps4a	1	ENSMUSG00000031913	
Vps4b	1	ENSMUSG00000009907	
Mcm3	1	ENSMUSG00000041859	
Mcm4	1	ENSMUSG00000022673	
Mcm5	1	ENSMUSG00000005410	
Mcm6	1	ENSMUSG00000026355	
3830406C13Rik	1	ENSMUSG00000033111	
Gm29107	1	ENSMUSG00000100775	
Gm29106	1	ENSMUSG00000102030	
Mcm2	1	ENSMUSG00000002870	
Gm17157	1	ENSMUSG00000091336	
Gm17153	1	ENSMUSG00000091815	
Vps51	1	ENSMUSG00000024797	
Vps52	1	ENSMUSG00000024319	
Gm17150	1	ENSMUSG00000091410	
Gm17151	1	ENSMUSG00000075558	
Gm5611	1	ENSMUSG00000090602	
Vps53	1	ENSMUSG00000017288	
Gm5612	1	ENSMUSG00000074501	
Vps54	1	ENSMUSG00000020128	
Gm5614	1	ENSMUSG00000066771	
D2hgdh	1	ENSMUSG00000073609	
Gm5615	1	ENSMUSG00000074448	
Gm5616	1	ENSMUSG00000063543	
Gm5617	1	ENSMUSG00000042293	
Gm5619	1	ENSMUSG00000099980	
Gm29133	1	ENSMUSG00000100962	
Lrrk1	1	ENSMUSG00000015133	
Lrrk2	1	ENSMUSG00000036273	
Arrb2	1	ENSMUSG00000060216	
Arrb1	1	ENSMUSG00000018909	
Gm17160	1	ENSMUSG00000090329	
Bco2	1	ENSMUSG00000032066	
Gm29138	1	ENSMUSG00000101945	
Bco1	1	ENSMUSG00000031845	
Gm17146	1	ENSMUSG00000091881	
Gm20796	1	ENSMUSG00000093800	
Tspear	1	ENSMUSG00000069581	
Gm5620	1	ENSMUSG00000056904	
Vps41	1	ENSMUSG00000041236	
Gm17140	1	ENSMUSG00000090464	
Gm5624	1	ENSMUSG00000092165	
Vps45	1	ENSMUSG00000015747	
Iars2	1	ENSMUSG00000026618	
Folr1	1	ENSMUSG00000001827	
Gm17149	1	ENSMUSG00000090334	
Gm5627	1	ENSMUSG00000093812	
Folr2	1	ENSMUSG00000032725	
Gm17147	1	ENSMUSG00000090939	
Gm29123	1	ENSMUSG00000099879	
Gm29125	1	ENSMUSG00000101722	
Gm29124	1	ENSMUSG00000099949	
RP24-210J6.4	1	ENSMUSG00000106329	
1700020G17Rik	1	ENSMUSG00000101801	
Gm29126	1	ENSMUSG00000099600	
Gm29128	1	ENSMUSG00000100910	
Prl3d3	1	ENSMUSG00000062201	
Surf6	1	ENSMUSG00000036160	
Prl3d1	1	ENSMUSG00000057170	
Prl3d2	1	ENSMUSG00000062737	
Sh3glb1	1	ENSMUSG00000037062	
Sh3glb2	1	ENSMUSG00000026860	
RP23-118H9.3	1	ENSMUSG00000107261	
Cxxc1	1	ENSMUSG00000024560	
Bcor	1	ENSMUSG00000040363	
Scamp3	1	ENSMUSG00000028049	
Cxxc4	1	ENSMUSG00000044365	
Scamp2	1	ENSMUSG00000040188	
Cxxc5	1	ENSMUSG00000046668	
Scamp1	1	ENSMUSG00000021687	
1700012B07Rik	1	ENSMUSG00000020617	
Scamp5	1	ENSMUSG00000040722	
Vps37a	1	ENSMUSG00000031600	
Grpel2	1	ENSMUSG00000024580	
Vps37b	1	ENSMUSG00000066278	
Vps37c	1	ENSMUSG00000048832	
Grpel1	1	ENSMUSG00000029198	
Vps37d	1	ENSMUSG00000043614	
Cmklr1	1	ENSMUSG00000042190	
Scn10a	1	ENSMUSG00000034533	
Cnot6l	1	ENSMUSG00000034724	
C330019F10Rik	1	ENSMUSG00000085864	
Saxo2	1	ENSMUSG00000038570	
1700003G18Rik	1	ENSMUSG00000087621	
4930404N11Rik	1	ENSMUSG00000020234	
Krtap4-6	1	ENSMUSG00000075566	
Krtap4-9	1	ENSMUSG00000078262	
Acer1	1	ENSMUSG00000045019	
Acer2	1	ENSMUSG00000038007	
Xcr1	1	ENSMUSG00000060509	
Prl3a1	1	ENSMUSG00000038883	
Acer3	1	ENSMUSG00000030760	
Krtap4-2	1	ENSMUSG00000044649	
Lrrn1	1	ENSMUSG00000034648	
Surf1	1	ENSMUSG00000015790	
Scgb1b30	1	ENSMUSG00000078752	
Lrrn2	1	ENSMUSG00000026443	
Surf2	1	ENSMUSG00000014873	
Lrrn3	1	ENSMUSG00000036295	
Surf4	1	ENSMUSG00000014867	
Lrrn4	1	ENSMUSG00000043110	
4930511A02Rik	1	ENSMUSG00000097841	
Aldh3a2	1	ENSMUSG00000010025	
Aldh3a1	1	ENSMUSG00000019102	
Il22ra2	1	ENSMUSG00000039760	
Gm29199	1	ENSMUSG00000100090	
RP23-297D16.2	1	ENSMUSG00000104892	
Rsrc2	1	ENSMUSG00000029422	
Pdrg1	1	ENSMUSG00000027472	
2010103J01Rik	1	ENSMUSG00000104368	
Rsrc1	1	ENSMUSG00000034544	
Svil	1	ENSMUSG00000024236	
Svip	1	ENSMUSG00000074093	
Qpct	1	ENSMUSG00000024084	
Il22ra1	1	ENSMUSG00000037157	
Iglon5	1	ENSMUSG00000013367	
Pbld2	1	ENSMUSG00000020072	
1810007C17Rik	1	ENSMUSG00000100844	
RP24-317M4.6	1	ENSMUSG00000105867	
Creg2	1	ENSMUSG00000050967	
Creg1	1	ENSMUSG00000040713	
Rsrp1	1	ENSMUSG00000037266	
Timm17a	1	ENSMUSG00000062580	
Timm17b	1	ENSMUSG00000031158	
RP24-317M4.1	1	ENSMUSG00000106103	
RP24-317M4.2	1	ENSMUSG00000104904	
Dkkl1	1	ENSMUSG00000030792	
2900018N21Rik	1	ENSMUSG00000104244	
4930562C15Rik	1	ENSMUSG00000022518	
Gm19815	1	ENSMUSG00000093716	
A130010J15Rik	1	ENSMUSG00000079144	
Xxylt1	1	ENSMUSG00000047434	
5730522E02Rik	1	ENSMUSG00000032985	
1500002C15Rik	1	ENSMUSG00000096221	
8430432A02Rik	1	ENSMUSG00000041878	
Aldh3b1	1	ENSMUSG00000024885	
Tarm1	1	ENSMUSG00000053338	
Aldh3b3	1	ENSMUSG00000037263	
Aldh3b2	1	ENSMUSG00000075296	
Fpgt	1	ENSMUSG00000053870	
Gm19807	1	ENSMUSG00000092223	
Fpgs	1	ENSMUSG00000009566	
mt-Cytb	1	ENSMUSG00000064370	
1110019D14Rik	1	ENSMUSG00000097616	
Svop	1	ENSMUSG00000042078	
4831440E17Rik	1	ENSMUSG00000097236	
RP23-427B4.3	1	ENSMUSG00000105280	
