NAME	# MATCHING PROBE SETS	MATCHING PROBE SET(S)	
Pcdhb20	1	ENSMUSG00000046191	
Hnrnpl	1	ENSMUSG00000015165	
Atr	1	ENSMUSG00000032409	
Pcdhb21	1	ENSMUSG00000044022	
Hnrnpm	1	ENSMUSG00000059208	
Pcdhb22	1	ENSMUSG00000073591	
Glt1d1	1	ENSMUSG00000049971	
Rsf1	1	ENSMUSG00000035623	
Gsg1	1	ENSMUSG00000030206	
Gsg2	1	ENSMUSG00000050107	
Auh	1	ENSMUSG00000021460	
Tyk2	1	ENSMUSG00000032175	
C8g	1	ENSMUSG00000015083	
Nfx1	1	ENSMUSG00000028423	
BC030336	1	ENSMUSG00000046096	
Rsl24d1	1	ENSMUSG00000032215	
A230072C01Rik	1	ENSMUSG00000086877	
Nfyb	1	ENSMUSG00000020248	
Deptor	1	ENSMUSG00000022419	
Nfya	1	ENSMUSG00000023994	
Nfyc	1	ENSMUSG00000032897	
5530601H04Rik	1	ENSMUSG00000087174	
Lmcd1	1	ENSMUSG00000057604	
Abcb1a	1	ENSMUSG00000040584	
Abcb1b	1	ENSMUSG00000028970	
Serpina3d-ps	1	ENSMUSG00000091573	
Sec14l1	1	ENSMUSG00000020823	
Sec14l2	1	ENSMUSG00000003585	
Sec14l4	1	ENSMUSG00000019368	
Sec14l5	1	ENSMUSG00000091712	
Emc2	1	ENSMUSG00000022337	
Emc1	1	ENSMUSG00000078517	
Emc4	1	ENSMUSG00000027131	
Tmub1	1	ENSMUSG00000028958	
Sebox	1	ENSMUSG00000001103	
Emc3	1	ENSMUSG00000030286	
Emc6	1	ENSMUSG00000047260	
Emc8	1	ENSMUSG00000031819	
Emc7	1	ENSMUSG00000055943	
Emc9	1	ENSMUSG00000022217	
Tmub2	1	ENSMUSG00000034757	
Rsg1	1	ENSMUSG00000073733	
AU021092	1	ENSMUSG00000051669	
Axl	1	ENSMUSG00000002602	
Prkcdbp	1	ENSMUSG00000037060	
1700063O14Rik	1	ENSMUSG00000101978	
Aarsd1	1	ENSMUSG00000075528	
Abcb11	1	ENSMUSG00000027048	
4731419I09Rik	1	ENSMUSG00000097004	
8030442B05Rik	1	ENSMUSG00000102674	
RP23-337H1.2	1	ENSMUSG00000105019	
Eme2	1	ENSMUSG00000073436	
Eme1	1	ENSMUSG00000039055	
Tymp	1	ENSMUSG00000022615	
Tyms	1	ENSMUSG00000025747	
Rpl26-ps3	1	ENSMUSG00000103944	
Rpl26-ps2	1	ENSMUSG00000066489	
Rpl26-ps4	1	ENSMUSG00000059150	
2310010J17Rik	1	ENSMUSG00000097162	
Gm4285	1	ENSMUSG00000085829	
Rsl1	1	ENSMUSG00000058900	
Gm4287	1	ENSMUSG00000092552	
Rccd1	1	ENSMUSG00000038930	
Pmf1	1	ENSMUSG00000028066	
Csf2rb2	1	ENSMUSG00000071714	
Emg1	1	ENSMUSG00000004268	
Gm4294	1	ENSMUSG00000078377	
Tom1l2	1	ENSMUSG00000000538	
Tom1l1	1	ENSMUSG00000020541	
Nsfl1c	1	ENSMUSG00000027455	
Pmch	1	ENSMUSG00000035383	
D830025C05Rik	1	ENSMUSG00000043794	
Tvp23b	1	ENSMUSG00000014177	
Tvp23a	1	ENSMUSG00000050908	
Zap70	1	ENSMUSG00000026117	
Aqp11	1	ENSMUSG00000042797	
Lingo4	1	ENSMUSG00000044505	
Sdf2l1	1	ENSMUSG00000022769	
Lingo3	1	ENSMUSG00000051067	
Cdadc1	1	ENSMUSG00000021982	
Lingo2	1	ENSMUSG00000045083	
Lingo1	1	ENSMUSG00000049556	
RP23-212F6.1	1	ENSMUSG00000104624	
Pmel	1	ENSMUSG00000025359	
Enpep	1	ENSMUSG00000028024	
Fundc2	1	ENSMUSG00000031198	
Fundc1	1	ENSMUSG00000025040	
1700049L16Rik	1	ENSMUSG00000043859	
Hmg20a	1	ENSMUSG00000032329	
Hmg20b	1	ENSMUSG00000020232	
Rps19-ps10	1	ENSMUSG00000089800	
Rps19-ps11	1	ENSMUSG00000089839	
Rps19-ps14	1	ENSMUSG00000082781	
Rps19-ps12	1	ENSMUSG00000097552	
Donson	1	ENSMUSG00000022960	
Tyw1	1	ENSMUSG00000056310	
Rps19-ps13	1	ENSMUSG00000095150	
Oscar	1	ENSMUSG00000054594	
Bad	1	ENSMUSG00000024959	
Arhgap27os2	1	ENSMUSG00000085360	
Arhgap27os3	1	ENSMUSG00000085887	
Ctnnbip1	1	ENSMUSG00000028988	
Arhgap27os1	1	ENSMUSG00000085733	
Bax	1	ENSMUSG00000003873	
Dennd3	1	ENSMUSG00000036661	
Gm6881	1	ENSMUSG00000082707	
Lman1	1	ENSMUSG00000041891	
Gm4221	1	ENSMUSG00000096948	
Ptdss1	1	ENSMUSG00000021518	
Gm6887	1	ENSMUSG00000092301	
Ngdn	1	ENSMUSG00000022204	
Lman2	1	ENSMUSG00000021484	
Ptdss2	1	ENSMUSG00000025495	
5930403N24Rik	1	ENSMUSG00000046463	
Smim22	1	ENSMUSG00000096215	
Smim20	1	ENSMUSG00000061461	
Clvs2	1	ENSMUSG00000019785	
Smim15	1	ENSMUSG00000071180	
Smim14	1	ENSMUSG00000037822	
Smim13	1	ENSMUSG00000091264	
Dapl1	1	ENSMUSG00000026989	
Smim19	1	ENSMUSG00000031534	
Smim18	1	ENSMUSG00000094500	
Smim17	1	ENSMUSG00000093536	
Bbx	1	ENSMUSG00000022641	
Rnf113a1	1	ENSMUSG00000036537	
Vwa5b1	1	ENSMUSG00000028753	
Rab11b	1	ENSMUSG00000077450	
Ngef	1	ENSMUSG00000026259	
Rab11a	1	ENSMUSG00000004771	
U2surp	1	ENSMUSG00000032407	
Rnf113a2	1	ENSMUSG00000098134	
Vwa5b2	1	ENSMUSG00000046613	
Gm6893	1	ENSMUSG00000081259	
Tyw3	1	ENSMUSG00000047583	
Gm6899	1	ENSMUSG00000068314	
Tyw5	1	ENSMUSG00000048495	
Eml1	1	ENSMUSG00000058070	
Eml3	1	ENSMUSG00000071647	
Eml2	1	ENSMUSG00000040811	
Bcr	1	ENSMUSG00000009681	
Eml5	1	ENSMUSG00000051166	
Eml4	1	ENSMUSG00000032624	
Smim24	1	ENSMUSG00000078439	
Eml6	1	ENSMUSG00000044072	
Dapk1	1	ENSMUSG00000021559	
Dapk2	1	ENSMUSG00000032380	
Dapk3	1	ENSMUSG00000034974	
B230398E01Rik	1	ENSMUSG00000087660	
Avpr1a	1	ENSMUSG00000020123	
Gabarap	1	ENSMUSG00000018567	
Ngfr	1	ENSMUSG00000000120	
Gm6863	1	ENSMUSG00000043483	
Gm4202	1	ENSMUSG00000091421	
Stmn1	1	ENSMUSG00000028832	
Gm4204	1	ENSMUSG00000079139	
1700015F17Rik	1	ENSMUSG00000079666	
Gm6866	1	ENSMUSG00000101196	
Gm4208	1	ENSMUSG00000100426	
Rspry1	1	ENSMUSG00000050079	
Mir24-2	1	ENSMUSG00000065541	
Stmn3	1	ENSMUSG00000027581	
Rsu1	1	ENSMUSG00000026727	
Stmn4	1	ENSMUSG00000022044	
Gm18553	1	ENSMUSG00000102626	
Gm6872	1	ENSMUSG00000091004	
Gm6871	1	ENSMUSG00000090744	
Gm18551	1	ENSMUSG00000102479	
Gm4211	1	ENSMUSG00000097146	
Pmm2	1	ENSMUSG00000022711	
Pmm1	1	ENSMUSG00000022474	
RP23-430G6.3	1	ENSMUSG00000106127	
Gm6877	1	ENSMUSG00000083557	
Gm4217	1	ENSMUSG00000097954	
Smim12	1	ENSMUSG00000042380	
Gm18558	1	ENSMUSG00000100068	
Gm4219	1	ENSMUSG00000091378	
Aaas	1	ENSMUSG00000036678	
Smim11	1	ENSMUSG00000051989	
