gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
ENSMUSG00000028402	1218.322	-0.4383485	0.09889955	4.95179e-08	8.56366e-07
ENSMUSG00000038070	117.1692	-2.603216	0.2382522	2.25001e-28	2.327043e-26
ENSMUSG00000038007	5.183907	-2.937932	0.54198001	8.94293e-09	1.730478e-07
ENSMUSG00000028497	99.64992	0.46518	0.25311049	0.0006107648	0.004523106
ENSMUSG00000085183	247.7949	0.3983506	0.12164415	7.882054e-06	9.162997e-05
ENSMUSG00000085569	125.1902	0.5773484	0.09761042	5.307446e-11	1.382504e-09
ENSMUSG00000062937	4916.934	0.5337437	0.07576461	2.550561e-14	9.494508e-13
ENSMUSG00000044303	900.192	0.625013	0.12426263	7.456612e-09	1.453589e-07
ENSMUSG00000073802	2179.29	0.4159973	0.18389632	0.0002334071	0.00193538
ENSMUSG00000085147	6.925951	-0.8140736	0.37388359	0.0001092879	0.0009907163
ENSMUSG00000086035	22.77243	-2.974259	0.25330436	2.1340560000000002e-32	2.6511539999999997e-30
ENSMUSG00000080808	10.0775	-1.182202	0.25691182	3.716463e-08	6.579016e-07
ENSMUSG00000043753	181.6493	-7.614604	0.31477043	3.5585089999999997e-132	3.2483e-129
ENSMUSG00000008489	9.938492	-4.11207	0.45095247	6.481763e-21	3.9790819999999997e-19
ENSMUSG00000054000	72.09424	-0.9257969	0.10920787	3.86881e-19	2.115252e-17
ENSMUSG00000052520	3.155146	-4.048219	0.68426274	2.626643e-10	6.224194e-09
ENSMUSG00000069733	52.4037	0.4134323	0.13929886	2.302667e-05	0.0002440408
ENSMUSG00000035275	4.28927	-0.4165152	0.38386431	0.003847767	0.02205402
ENSMUSG00000028525	123.3629	0.7867847	0.10498245	2.137044e-15	8.78028e-14
ENSMUSG00000028522	1432.56	-0.4002552	0.04568306	7.181894e-21	4.396031e-19
ENSMUSG00000028518	245.9143	-0.5830023	0.11515959	5.14104e-09	1.028943e-07
ENSMUSG00000034853	8.838232	-3.169929	0.44778162	3.002943e-13	1.023487e-11
ENSMUSG00000028600	1.661087	-0.6266356	0.79037392	0.003370017	0.01976355
ENSMUSG00000028713	143.131	0.6811187	0.10952943	1.462345e-11	4.110031e-10
ENSMUSG00000028701	64.85477	-0.4371971	0.18770433	0.0001736909	0.001494524
ENSMUSG00000033948	1.746308	-1.120852	1.02134132	0.0009406945	0.006616376
ENSMUSG00000050854	10.72011	-3.468107	0.38346506	2.7710659999999996e-20	1.6296510000000001e-18
ENSMUSG00000028635	39.41321	-0.9180816	0.43706855	0.0001124872	0.001017084
ENSMUSG00000028654	696.7189	-0.5576877	0.28877838	0.0003485139	0.002760109
ENSMUSG00000046093	4.117511	-4.100328	0.63497334	8.364199e-12	2.412175e-10
ENSMUSG00000090125	2.078261	-1.062205	0.89871963	0.0007989123	0.005738338
ENSMUSG00000032643	1267.24	-0.4419645	0.12908545	3.860933e-06	4.773869e-05
ENSMUSG00000042500	4.611488	-3.399181	0.61997004	5.74845e-09	1.140725e-07
ENSMUSG00000073755	123.0654	0.9346874	0.14492734	1.777268e-12	5.58589e-11
ENSMUSG00000085334	133.7462	-0.4204814	0.0743093	6.99913e-11	1.800818e-09
ENSMUSG00000042388	1.964512	-3.444503	0.68788404	5.860228e-08	1.003552e-06
ENSMUSG00000041000	26.51496	-0.4828772	0.19402991	9.253968e-05	0.0008510164
ENSMUSG00000028785	1.846178	-2.414628	0.92427008	3.617818e-05	0.0003634262
ENSMUSG00000000409	22.6444	-1.225404	0.24727845	6.925964e-09	1.352657e-07
ENSMUSG00000053730	189.063	-0.4985904	0.06746654	1.377258e-15	5.692033e-14
ENSMUSG00000040690	776.1709	-0.4500474	0.1484115	1.640703e-05	0.0001793158
ENSMUSG00000025743	754.6312	-0.4107454	0.10743716	8.015562e-07	1.137072e-05
ENSMUSG00000091021	28.65608	-0.391882	0.21231398	0.0008623774	0.006137496
ENSMUSG00000028860	55.57337	0.7220577	0.15979273	8.824025e-08	1.470321e-06
ENSMUSG00000056596	11.09041	-1.002792	0.53784664	0.0001754382	0.001507089
ENSMUSG00000048003	16.37565	0.5296121	0.24150213	0.0001925295	0.001629245
ENSMUSG00000037242	8754.707	-0.6312498	0.09202507	2.060934e-13	7.14015e-12
ENSMUSG00000043924	15.7239	-1.236774	0.29270307	1.886414e-07	2.962248e-06
ENSMUSG00000028801	7.854275	-0.6607528	0.41113601	0.0005444798	0.004076802
ENSMUSG00000037188	188.2017	-1.588319	0.28208557	3.343262e-10	7.860223e-09
ENSMUSG00000037139	53.54686	-0.450462	0.15582212	2.693258e-05	0.0002810116
ENSMUSG00000070687	26.16004	-1.167175	0.22273335	1.586649e-09	3.413084e-08
ENSMUSG00000036940	3884.741	-0.4177882	0.04061759	3.2103940000000003e-27	2.905268e-25
ENSMUSG00000041143	187.7209	-0.6904768	0.0647074	7.462826e-28	7.287536e-26
ENSMUSG00000041120	84.20876	-3.396687	0.16941225	4.305853999999999e-90	2.582897e-87
ENSMUSG00000028736	76.62699	-0.9191898	0.120624	4.379024e-16	1.919366e-14
ENSMUSG00000040860	380.8671	-0.4690853	0.05894105	1.172e-17	5.749098e-16
ENSMUSG00000040659	2378.902	-0.5573194	0.06886523	1.2449450000000001e-17	6.092684e-16
ENSMUSG00000082082	31.54314	0.3805606	0.21096622	0.001032004	0.007176855
ENSMUSG00000070605	33.6674	-0.7218509	0.15458219	4.667183e-08	8.098141e-07
ENSMUSG00000081998	4.210507	-0.3876441	0.38111777	0.005027349	0.02744389
ENSMUSG00000078497	2.625103	1.208735	1.29085672	0.001262461	0.008541854
ENSMUSG00000078496	8.635259	-1.857603	0.34902706	3.371026e-09	6.938696e-08
ENSMUSG00000029019	8.091547	-1.730373	0.79321371	7.645527e-05	0.0007159583
ENSMUSG00000029016	852.7803	-0.498233	0.04828071	6.903741000000001e-27	6.115783e-25
ENSMUSG00000028988	469.7795	-0.4460757	0.04829853	1.35057e-22	9.451737e-21
ENSMUSG00000039936	61.74366	-0.7177324	0.18884945	1.315257e-06	1.791942e-05
ENSMUSG00000028943	3.226756	-0.6597906	0.57427438	0.001438993	0.009551585
ENSMUSG00000042804	3.798645	-1.56989	0.55191443	1.712527e-05	0.0001862928
ENSMUSG00000028931	223.2223	-1.234328	0.16613285	1.191752e-15	4.964453e-14
ENSMUSG00000086272	38.3066	0.4685516	0.15427503	1.569161e-05	0.0001724845
ENSMUSG00000057751	123.8157	-2.961293	0.18654923	2.76198e-57	8.167293000000001e-55
ENSMUSG00000039410	72.39572	-0.407316	0.12592662	8.814289e-06	0.0001014561
ENSMUSG00000029059	85.04385	-0.8372857	0.30503218	2.655776e-05	0.0002775844
ENSMUSG00000029074	4.579612	-1.617188	0.80570856	0.0001085722	0.0009863581
ENSMUSG00000044674	532.0857	-1.127404	0.07446741	9.159164e-54	2.434135e-51
ENSMUSG00000028926	159.4002	-2.879163	0.18064577	1.019551e-57	3.1022440000000003e-55
ENSMUSG00000073234	19.66988	-1.2762	0.23000371	3.052969e-10	7.193836e-09
ENSMUSG00000040473	631.6206	-0.5109878	0.08907596	8.227448e-11	2.101402e-09
ENSMUSG00000042476	43.26614	0.7884937	0.1679289	4.055017e-08	7.130241e-07
ENSMUSG00000056004	1.348306	-2.087602	1.22396638	0.0001854893	0.001579857
ENSMUSG00000040254	17.95403	-3.103678	0.29038138	2.923184e-27	2.656807e-25
ENSMUSG00000028883	519.1301	-1.887478	0.16454192	1.2661390000000002e-31	1.527735e-29
ENSMUSG00000105366	19.24688	-2.405937	0.23333569	1.3183830000000001e-25	1.0854690000000001e-23
ENSMUSG00000028949	180.5311	-0.6898091	0.22270526	1.213289e-05	0.0001364381
ENSMUSG00000043833	10.61706	-4.053991	0.52166474	6.938335e-16	2.972864e-14
ENSMUSG00000056367	5.159	-1.295248	0.59532306	7.545017e-05	0.0007074928
ENSMUSG00000029168	13.49168	-1.871383	0.24043438	3.795586e-16	1.66712e-14
ENSMUSG00000006642	33.61352	-1.210335	0.27366796	8.225048e-08	1.382585e-06
ENSMUSG00000038552	147.9198	-1.038675	0.07940557	4.61228e-41	7.872749e-39
ENSMUSG00000054252	265.2794	-1.321551	0.63333038	9.171777e-05	0.0008438276
ENSMUSG00000070858	14.6678	-3.549928	0.30880368	2.435426e-31	2.905214e-29
ENSMUSG00000048142	14.8811	-6.389675	0.61007991	3.62317e-28	3.657137e-26
ENSMUSG00000029102	1955.257	0.6066438	0.07201303	1.267169e-18	6.601539e-17
ENSMUSG00000044716	54.62245	-2.476584	0.23465227	1.121426e-26	9.689025e-25
ENSMUSG00000029121	17.69045	-1.750877	0.22052761	7.86067e-17	3.619184e-15
ENSMUSG00000107134	23.19186	-1.334671	0.26771611	6.481663e-09	1.271799e-07
ENSMUSG00000051022	237.0908	-0.565845	0.31378542	0.0004617617	0.003526623
ENSMUSG00000029092	2.823286	-0.5745103	0.62607828	0.002867356	0.01716282
ENSMUSG00000044827	57.86027	0.594905	0.15015611	6.33534e-07	9.1479e-06
ENSMUSG00000029195	176.757	0.4395012	0.17183177	8.436471e-05	0.0007840801
ENSMUSG00000029223	790.3945	-2.868292	0.0543827	0.0	0.0
ENSMUSG00000037605	449.446	-1.947365	0.14080051	1.4343249999999999e-44	2.895543e-42
ENSMUSG00000087431	2.446556	-0.9536491	0.9478288	0.001324326	0.008885981
ENSMUSG00000106746	1.465171	-2.423399	0.91987927	3.479702e-05	0.0003510636
ENSMUSG00000029260	5407.983	0.5130502	0.16334248	1.072441e-05	0.0001216418
ENSMUSG00000029368	1984.743	0.6820018	0.06739658	2.3686699999999997e-25	1.9350280000000003e-23
ENSMUSG00000047963	195.3784	-0.6037791	0.40677068	0.0008323595	0.005939968
ENSMUSG00000045314	46.20419	0.5589421	0.2823162	0.00030794	0.002469519
ENSMUSG00000034687	43.53554	-0.6595975	0.15195251	1.692825e-07	2.682704e-06
ENSMUSG00000050640	15.79884	-0.5675272	0.36183837	0.0007808289	0.005625773
ENSMUSG00000034438	41.44561	0.4237797	0.29475584	0.001905201	0.01210644
ENSMUSG00000054720	2123.11	-0.5093268	0.09146535	2.095004e-10	5.026811e-09
ENSMUSG00000034384	19.52421	1.232278	0.29840016	2.755525e-07	4.207437e-06
ENSMUSG00000070576	0.9419969	-1.059979	1.26587507	0.001761911	0.01131233
ENSMUSG00000029348	2.731049	-2.607901	0.67153539	2.745341e-06	3.480582e-05
ENSMUSG00000042010	6.190737	-0.6560694	0.46699278	0.0008494039	0.006059543
ENSMUSG00000014158	337.0642	-1.421338	0.06060967	2.637892e-123	2.307606e-120
ENSMUSG00000029522	5.311765	2.913828	0.45352137	2.645594e-11	7.185544e-10
ENSMUSG00000106915	1.33062	-0.4878914	0.74105394	0.006238764	0.03291853
